"AgeRange","EducationLevel","LivingSituation","RentBudget","ImportantHousingFactors","AwarenessSemesterLeasing","LikelihoodSemesterHousing","OpennessSubleasing","NeedsMetCurrentHousing","ChallengesCurrentHousing","PreferredFeaturesSemesterLeasing","ImportanceCommunityEvents"
"18-22","Undergraduate","On-campus housing","$500 - $1000","Safety, Amenities","Neutral","Likely","Neutral","Mostly meets my needs","Distance from campus, Inadequate amenities, Safety concerns, High cost","Community events and networking opportunities, Price range options, Safety ratings","Somewhat important"
"23-26","Undergraduate","Off-campus apartment/house","Over $1500","Safety","Somewhat aware","Likely","Not open","Mostly meets my needs","Inadequate amenities","Roommate matching service, Price range options, Proximity to campus filter, Safety ratings, Community events and networking opportunities","Somewhat important"
"18-22","Graduate","Living with family","$500 - $1000","Safety","Somewhat aware","Neutral","Maybe open","Somewhat meets my needs","Safety concerns","Roommate matching service","Not very important"
"23-26","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety","Neutral","Very likely","Neutral","Barely meets my needs","Safety concerns, Inadequate amenities","Price range options, Safety ratings","Not important at all"
"23-26","Undergraduate","On-campus housing","$500 - $1000","Roommate preferences, Safety, Amenities","Neutral","Very likely","Maybe open","Barely meets my needs","Safety concerns, High cost, Inadequate amenities","Roommate matching service, Price range options, Safety ratings","Not important at all"
"18-22","Undergraduate","Off-campus apartment/house","$1001 - $1500","Safety, Amenities, Roommate preferences, Proximity to campus","Not aware","Very likely","Definitely open","Barely meets my needs","Distance from campus, High cost","Safety ratings, Proximity to campus filter","Not very important"
"18-22","Graduate","Off-campus apartment/house","Less than $500","Proximity to campus","Very aware","Unlikely","Definitely open","Barely meets my needs","Inadequate amenities","Proximity to campus filter, Safety ratings, Community events and networking opportunities, Price range options","Not important at all"
"23-26","Graduate","Living with family","$1001 - $1500","Amenities","Somewhat aware","Very unlikely","Definitely open","Mostly meets my needs","Inadequate amenities, Distance from campus, Safety concerns, High cost","Community events and networking opportunities, Price range options, Roommate matching service, Proximity to campus filter, Safety ratings","Not important at all"
"18-22","Graduate","Living with family","Over $1500","Safety","Neutral","Unlikely","Maybe open","Does not meet my needs","High cost, Distance from campus, Safety concerns","Price range options, Safety ratings","Very important"
"18-22","Undergraduate","Living with family","$500 - $1000","Roommate preferences, Safety, Amenities","Very aware","Neutral","Neutral","Mostly meets my needs","High cost, Distance from campus, Inadequate amenities, Safety concerns","Community events and networking opportunities, Roommate matching service, Price range options, Safety ratings","Somewhat important"
"23-26","Undergraduate","On-campus housing","Less than $500","Proximity to campus, Roommate preferences, Safety","Neutral","Unlikely","Neutral","Barely meets my needs","Inadequate amenities, High cost, Safety concerns, Distance from campus","Price range options","Somewhat important"
